"","X","embryo","yolk_area","embryo_area","yolk_embryo_ratio","mom","elevation","treatment","day_of_exp","julian_date"
"48",12,12,1088045,1984975,0.548140404790992,"HZ9","higher","Control",2,164
"49",1,1,1261011,2195012,0.574489342199496,"LZ2","lower","Control",2,164
"50",2,2,1588635,2350775,0.675792026033967,"LZ2","lower","Control",2,164
"51",3,3,1677720,2374292,0.706619067915825,"LZ2","lower","Control",2,164
"52",4,4,1107703,1986157,0.557711701542224,"LZ2","lower","Control",2,164
"53",5,5,1586511,2255646,0.703351057745763,"LZ2","lower","Control",2,164
"54",6,6,1381405,2197905,0.628509876450529,"LZ2","lower","Control",2,164
"55",7,7,1586196,2210506,0.717571451966201,"LZ2","lower","Control",2,164
"56",8,8,1558456,2282062,0.682915713946422,"LZ2","lower","Control",2,164
"57",9,9,1521985,2052054,0.741688571548312,"LZ2","lower","Control",2,164
"58",10,10,1594796,2258219,0.70621848456682,"LZ2","lower","Control",2,164
"59",11,11,1575501,2228101,0.707104839502338,"LZ2","lower","Control",2,164
"60",12,12,1492795,2315710,0.644638145536358,"LZ2","lower","Control",2,164
"61",1,1,1133127,2594254,0.436783368166725,"LZ3","lower","Control",2,164
"62",2,2,1348806,2749704,0.49052770770963,"LZ3","lower","Control",2,164
"63",3,3,1305470,2621145,0.498053331654678,"LZ3","lower","Control",2,164
"64",4,4,1290840,2753348,0.468825589791047,"LZ3","lower","Control",2,164
"65",5,5,1283138,2774183,0.462528247055079,"LZ3","lower","Control",2,164
"66",6,6,1468046,2769816,0.530015712235037,"LZ3","lower","Control",2,164
"67",7,7,1164985,2636195,0.441919129654673,"LZ3","lower","Control",2,164
"68",8,8,1330102,2746536,0.484283475621656,"LZ3","lower","Control",2,164
"69",9,9,1759885,3026214,0.581546777590745,"LZ3","lower","Control",2,164
"70",10,10,1582936,2762276,0.573054973507354,"LZ3","lower","Control",2,164
"71",11,11,1205197,2655575,0.453836551406004,"LZ3","lower","Control",2,164
"72",12,12,1232903,2618913,0.47076897934372,"LZ3","lower","Control",2,164
"73",1,1,1235424,2545780,0.485283095947018,"LZ5","lower","Control",2,164
"74",2,2,1095387,2497210,0.438644327069009,"LZ5","lower","Control",2,164
"75",3,3,1532531,2492651,0.614819724060849,"LZ5","lower","Control",2,164
"76",4,4,1266165,2554786,0.495605111347878,"LZ5","lower","Control",2,164
"77",5,5,1224737,2534031,0.483315713185829,"LZ5","lower","Control",2,164
"78",6,6,1225733,2689781,0.455699925012482,"LZ5","lower","Control",2,164
"79",7,7,1233351,2762814,0.446411159057396,"LZ5","lower","Control",2,164
"80",8,8,1284095,2591334,0.495534346402278,"LZ5","lower","Control",2,164
"81",9,9,1095424,2577252,0.425035658135099,"LZ5","lower","Control",2,164
"82",10,10,1178658,2645501,0.445533001121527,"LZ5","lower","Control",2,164
"83",11,11,1286783,2565855,0.501502618035704,"LZ5","lower","Control",2,164
"84",12,12,1499140,2558690,0.585901379221398,"LZ5","lower","Control",2,164
"85",1,1,1262190,2500511,0.504772824434686,"LZ7","lower","Control",2,164
"86",2,2,1348963,2540862,0.530907621114409,"LZ7","lower","Control",2,164
"87",3,3,1840681,3672503,0.501206125631483,"LZ7","lower","Control",2,164
"88",4,4,1443995,2669012,0.541022295890764,"LZ7","lower","Control",2,164
"89",5,5,1170728,2673823,0.437847980214098,"LZ7","lower","Control",2,164
"90",6,6,1529802,2739534,0.558416869438379,"LZ7","lower","Control",2,164
"91",7,7,1312736,2993703,0.438499076227669,"LZ7","lower","Control",2,164
"92",8,8,1351845,2726902,0.495743888119192,"LZ7","lower","Control",2,164
"93",9,9,1263231,2567895,0.491932497239957,"LZ7","lower","Control",2,164
"94",10,10,1218391,2571951,0.473722477605522,"LZ7","lower","Control",2,164
"95",11,11,1291795,2436423,0.530201446957281,"LZ7","lower","Control",2,164
"96",12,12,1314704,2684461,0.489745986251989,"LZ7","lower","Control",2,164
"97",1,1,925168,2705320,0.341980985613532,"HZ11","higher","Control",9,171
"98",2,2,1039591,2408694,0.431599447667491,"HZ11","higher","Control",9,171
"99",3,3,1270086,2800719,0.453485694209237,"HZ11","higher","Control",9,171
"100",4,4,1672405,2984478,0.56036767568734,"HZ11","higher","Control",9,171
"101",5,5,944182,2427205,0.388999693062597,"HZ11","higher","Control",9,171
"102",6,6,1156338,2943454,0.392850712122561,"HZ11","higher","Control",9,171
"103",7,7,864257,2521536,0.342750212568847,"HZ11","higher","Control",9,171
"104",8,8,1411838,2479232,0.569465866849089,"HZ11","higher","Control",9,171
"105",9,9,1021370,2728696,0.374306994989548,"HZ11","higher","Control",9,171
"106",10,10,1011527,2919218,0.346506153360249,"HZ11","higher","Control",9,171
"107",11,11,1048987,2713095,0.38663850694502,"HZ11","higher","Control",9,171
"108",12,12,1253832,2737553,0.458011954471749,"HZ11","higher","Control",9,171
"109",1,1,1074737,2973988,0.361379064071543,"HZ12","higher","Control",9,171
"110",2,2,662497,3243358,0.20426268083881,"HZ12","higher","Control",9,171
"111",3,3,745924,2770784,0.269210447295783,"HZ12","higher","Control",9,171
"112",4,4,1001413,2855097,0.35074570145953,"HZ12","higher","Control",9,171
"113",5,5,825515,2755428,0.299595924843618,"HZ12","higher","Control",9,171
"114",6,6,935613,2785712,0.335861352501623,"HZ12","higher","Control",9,171
"115",7,7,884393,2906676,0.304262669798767,"HZ12","higher","Control",9,171
"116",8,8,924951,2714657,0.340724813484724,"HZ12","higher","Control",9,171
"117",9,9,977421,2783864,0.351102280858548,"HZ12","higher","Control",9,171
"118",10,10,700159,2779494,0.251901605112297,"HZ12","higher","Control",9,171
"119",11,11,797856,2658490,0.300116231394513,"HZ12","higher","Control",9,171
"120",12,12,734042,2683544,0.2735345498341,"HZ12","higher","Control",9,171
"121",1,1,833356,3019600,0.275982249304544,"HZ13","higher","Control",9,171
"122",2,2,813228,3046267,0.266958871300513,"HZ13","higher","Control",9,171
"123",3,3,810013,2924636,0.276961987748219,"HZ13","higher","Control",9,171
"124",4,4,709127,3017790,0.234982222089675,"HZ13","higher","Control",9,171
"125",5,5,926948,3101856,0.298836567526023,"HZ13","higher","Control",9,171
"126",6,6,762473,2877471,0.264980255231069,"HZ13","higher","Control",9,171
"127",7,7,985954,2964824,0.33255059996816,"HZ13","higher","Control",9,171
"128",8,8,1295788,2924418,0.443092608512189,"HZ13","higher","Control",9,171
"129",9,9,877024,2947145,0.297584272236351,"HZ13","higher","Control",9,171
"130",10,10,963566,3089261,0.311908252491453,"HZ13","higher","Control",9,171
"131",11,11,910962,3053688,0.298315348522835,"HZ13","higher","Control",9,171
"132",12,12,787353,3032667,0.259623954756655,"HZ13","higher","Control",9,171
"133",1,1,1104114,2229681,0.495189222135364,"HZ9","higher","Control",9,171
"134",2,2,1150211,2322177,0.495315817872626,"HZ9","higher","Control",9,171
"135",3,3,1296995,2441155,0.531303829539706,"HZ9","higher","Control",9,171
"136",4,4,1340987,2246015,0.597051667063666,"HZ9","higher","Control",9,171
"137",5,5,1374079,2565830,0.53553002342322,"HZ9","higher","Control",9,171
"138",6,6,925872,2187333,0.423288086450486,"HZ9","higher","Control",9,171
"139",7,7,1031819,2329891,0.442861490086875,"HZ9","higher","Control",9,171
"140",8,8,1189663,2463708,0.482874999797054,"HZ9","higher","Control",9,171
"141",9,9,1250252,2413601,0.518002768477474,"HZ9","higher","Control",9,171
"142",10,10,1366193,2418866,0.564807227849744,"HZ9","higher","Control",9,171
"143",11,11,1378915,2461068,0.560291304425558,"HZ9","higher","Control",9,171
"144",12,12,1098231,2132046,0.515106615898531,"HZ9","higher","Control",9,171
"145",1,1,1540168,2518440,0.611556360286527,"LZ2","lower","Control",9,171
"146",2,2,1558019,3877243,0.401836820648074,"LZ2","lower","Control",9,171
"147",3,3,1666975,2318191,0.719084406763722,"LZ2","lower","Control",9,171
"148",4,4,1363240,2298473,0.593106814828802,"LZ2","lower","Control",9,171
"149",5,5,1395007,2328139,0.599194034376813,"LZ2","lower","Control",9,171
"150",6,6,1490491,2374481,0.627712329557491,"LZ2","lower","Control",9,171
"151",7,7,1479717,2493967,0.593318596436922,"LZ2","lower","Control",9,171
"152",8,8,1633560,2464048,0.662957864457186,"LZ2","lower","Control",9,171
"153",9,9,1375807,2275514,0.604613726832707,"LZ2","lower","Control",9,171
"154",10,10,1481679,2509107,0.590520452097101,"LZ2","lower","Control",9,171
"155",11,11,1320913,2282515,0.578709449883133,"LZ2","lower","Control",9,171
"156",12,12,1408282,2389710,0.589310836879789,"LZ2","lower","Control",9,171
"157",1,1,990895,2834642,0.349566188605122,"LZ3","lower","Control",9,171
"158",2,2,1152493,2980624,0.386661652056751,"LZ3","lower","Control",9,171
"159",3,3,998615,2929727,0.340855991018958,"LZ3","lower","Control",9,171
"160",4,4,1010593,2944024,0.343269280413475,"LZ3","lower","Control",9,171
"161",5,5,906774,3053031,0.297007793238916,"LZ3","lower","Control",9,171
"162",6,6,972912,2930911,0.331948667155024,"LZ3","lower","Control",9,171
"163",7,7,1309388,2966246,0.441429335260798,"LZ3","lower","Control",9,171
"164",8,8,1430948,2980332,0.480130401579421,"LZ3","lower","Control",9,171
"165",9,9,1618306,3403987,0.475414859104926,"LZ3","lower","Control",9,171
"166",10,10,832906,2951026,0.282242853841342,"LZ3","lower","Control",9,171
"167",11,11,895656,2942044,0.304433244370241,"LZ3","lower","Control",9,171
"168",12,12,993912,2924636,0.339841265716486,"LZ3","lower","Control",9,171
"169",1,1,932068,2680780,0.347685375152008,"LZ5","lower","Control",9,171
"170",2,2,1152357,2763258,0.417028377371928,"LZ5","lower","Control",9,171
"171",3,3,988651,2764364,0.357641395995607,"LZ5","lower","Control",9,171
"172",4,4,911564,2811745,0.324198673777316,"LZ5","lower","Control",9,171
"173",5,5,980240,2829844,0.346393652794995,"LZ5","lower","Control",9,171
"174",6,6,935982,2791399,0.335309283982691,"LZ5","lower","Control",9,171
"175",7,7,1058746,3026553,0.349819084615402,"LZ5","lower","Control",9,171
"176",8,8,992874,2903997,0.341899113532142,"LZ5","lower","Control",9,171
"177",9,9,1108451,3012533,0.367946508801729,"LZ5","lower","Control",9,171
"178",10,10,938342,2876081,0.326257153397279,"LZ5","lower","Control",9,171
"179",11,11,884162,2752014,0.321278162102373,"LZ5","lower","Control",9,171
"180",12,12,859413,2892912,0.297075403607161,"LZ5","lower","Control",9,171
"181",1,1,1214415,2739278,0.443333973404671,"LZ7","lower","Control",9,171
"182",2,2,1189573,2776442,0.428452314148828,"LZ7","lower","Control",9,171
"183",3,3,2274530,3389851,0.670982293912033,"LZ7","lower","Control",9,171
"184",4,4,1254178,2898913,0.432637336822457,"LZ7","lower","Control",9,171
"185",5,5,992691,2727142,0.364004147932158,"LZ7","lower","Control",9,171
"186",6,6,1376848,2900563,0.474683018434697,"LZ7","lower","Control",9,171
"187",7,7,1457569,3042102,0.479132192148718,"LZ7","lower","Control",9,171
"188",8,8,1114205,3024846,0.36835098381868,"LZ7","lower","Control",9,171
"189",9,9,860080,2708505,0.317547872350245,"LZ7","lower","Control",9,171
"190",10,10,885569,2843918,0.31139048312926,"LZ7","lower","Control",9,171
"191",11,11,920939,2662386,0.34590739284236,"LZ7","lower","Control",9,171
"192",12,12,1172897,2935543,0.399550270597297,"LZ7","lower","Control",9,171
"193",1,1,454943,3202883,0.142041716790779,"HZ11","higher","Control",19,180
"194",2,2,338619,3019316,0.112150897753001,"HZ11","higher","Control",19,180
"195",3,3,1279656,3095501,0.413392210178579,"HZ11","higher","Control",19,180
"196",4,4,996484,3243843,0.307192425773997,"HZ11","higher","Control",19,180
"197",5,5,404868,2295175,0.176399620943937,"HZ11","higher","Control",19,180
"198",6,6,736219,2952205,0.249379362205538,"HZ11","higher","Control",19,180
"199",7,7,498614,3083098,0.161724992199405,"HZ11","higher","Control",19,180
"200",8,8,729057,3243512,0.224773948732115,"HZ11","higher","Control",19,180
"201",9,9,598651,2826539,0.211796476185186,"HZ11","higher","Control",19,180
"202",10,10,719681,2979937,0.241508796998057,"HZ11","higher","Control",19,180
"203",11,11,595762,2900318,0.205412647854477,"HZ11","higher","Control",19,180
"204",12,12,675060,3180142,0.212273539986579,"HZ11","higher","Control",19,180
"205",1,1,659694,3250504,0.202951296168225,"HZ12","higher","Control",19,180
"206",2,2,457694,2826175,0.161948216228648,"HZ12","higher","Control",19,180
"207",3,3,470602,3100329,0.151790987343601,"HZ12","higher","Control",19,180
"208",4,4,528996,3183981,0.166142951229923,"HZ12","higher","Control",19,180
"209",5,5,413750,2930986,0.141164099726167,"HZ12","higher","Control",19,180
"210",6,6,8573184,7935464,1.0803632906658,"HZ12","higher","Control",19,180
"211",7,7,409072,2852187,0.143423976057671,"HZ12","higher","Control",19,180
"212",8,8,575412,3041733,0.189172422431555,"HZ12","higher","Control",19,180
"213",9,9,616596,3150689,0.195701955984866,"HZ12","higher","Control",19,180
"214",10,10,557391,3068924,0.181624243545946,"HZ12","higher","Control",19,180
"215",11,11,309455,2892342,0.106991151115601,"HZ12","higher","Control",19,180
"216",12,12,507882,3051430,0.166440652415425,"HZ12","higher","Control",19,180
"217",1,1,500966,3360189,0.14908863757366,"HZ13","higher","Control",19,180
"218",2,2,442106,3374116,0.131028690181369,"HZ13","higher","Control",19,180
"219",3,3,405711,3337871,0.121547836929588,"HZ13","higher","Control",19,180
"220",4,4,345177,3778038,0.0913640889795179,"HZ13","higher","Control",19,180
"221",5,5,8573184,7935464,1.0803632906658,"HZ13","higher","Control",19,180
"222",6,6,397636,3199648,0.124274920241227,"HZ13","higher","Control",19,180
"223",7,7,577608,3411111,0.169331341020565,"HZ13","higher","Control",19,180
"224",8,8,429556,3381682,0.127024362432659,"HZ13","higher","Control",19,180
"225",9,9,1427032,3471942,0.411018386827891,"HZ13","higher","Control",19,180
"226",10,10,510488,3364121,0.151744839142231,"HZ13","higher","Control",19,180
"227",11,11,671623,3447165,0.194833435591276,"HZ13","higher","Control",19,180
"228",12,12,614730,3092822,0.198760226097719,"HZ13","higher","Control",19,180
"229",1,1,1097716,2295130,0.478280533128842,"HZ9","higher","Control",19,180
"230",2,2,518606,2851836,0.181849867944721,"HZ9","higher","Control",19,180
"231",3,3,722043,2516048,0.286975049760577,"HZ9","higher","Control",19,180
"232",4,4,892429,2683031,0.332619712556433,"HZ9","higher","Control",19,180
"233",5,5,630541,2539800,0.24826403653831,"HZ9","higher","Control",19,180
"234",6,6,910116,2489539,0.365576116702731,"HZ9","higher","Control",19,180
"235",7,7,8573184,7935464,1.0803632906658,"HZ9","higher","Control",19,180
"236",8,8,8573184,7935464,1.0803632906658,"HZ9","higher","Control",19,180
"237",9,9,1056292,2452399,0.430717839959974,"HZ9","higher","Control",19,180
"238",10,10,633659,2508518,0.2526029312925,"HZ9","higher","Control",19,180
"239",11,11,140774,3173091,0.0443649425749214,"HZ9","higher","Control",19,180
"240",12,12,544866,2433252,0.223925018863644,"HZ9","higher","Control",19,180
"241",1,1,1119862,2601485,0.430470289084888,"LZ2","lower","Control",19,180
"242",2,2,8573184,7935464,1.0803632906658,"LZ2","lower","Control",19,180
"243",3,3,1005777,2687128,0.374294413961672,"LZ2","lower","Control",19,180
"244",4,4,852076,2353902,0.361984483636107,"LZ2","lower","Control",19,180
"245",5,5,1165249,2812889,0.414253459699263,"LZ2","lower","Control",19,180
"246",6,6,1364577,2754428,0.495412114602378,"LZ2","lower","Control",19,180
"247",7,7,1389277,2807614,0.494824787168037,"LZ2","lower","Control",19,180
"248",8,8,824805,2643974,0.311956547227772,"LZ2","lower","Control",19,180
"249",9,9,8573184,7935464,1.0803632906658,"LZ2","lower","Control",19,180
"250",10,10,1305539,2634178,0.49561533047501,"LZ2","lower","Control",19,180
"251",11,11,1156585,2583394,0.447699808856102,"LZ2","lower","Control",19,180
"252",12,12,1127367,2721050,0.414313224674299,"LZ2","lower","Control",19,180
"253",1,1,544749,2893804,0.188246681530608,"LZ3","lower","Control",19,180
"254",2,2,958844,3303598,0.290242335780564,"LZ3","lower","Control",19,180
"255",3,3,1706118,3688120,0.462598288558941,"LZ3","lower","Control",19,180
"256",4,4,548935,3027791,0.181298841300473,"LZ3","lower","Control",19,180
"257",5,5,562660,3159963,0.178059046893904,"LZ3","lower","Control",19,180
"258",6,6,580215,3268064,0.177540892712015,"LZ3","lower","Control",19,180
"259",7,7,332341,2894128,0.114832861573503,"LZ3","lower","Control",19,180
"260",8,8,588577,3337793,0.1763371784889,"LZ3","lower","Control",19,180
"261",9,9,1018577,3949811,0.257879934001905,"LZ3","lower","Control",19,180
"262",10,10,617130,3129639,0.197188877055788,"LZ3","lower","Control",19,180
"263",11,11,720482,3016050,0.238882644518493,"LZ3","lower","Control",19,180
"264",12,12,628325,2979659,0.210871445356667,"LZ3","lower","Control",19,180
"265",1,1,602701,2833128,0.212733416915861,"LZ5","lower","Control",19,180
"266",2,2,617387,3131880,0.197129838946575,"LZ5","lower","Control",19,180
"267",3,3,346137,2737452,0.126444956843079,"LZ5","lower","Control",19,180
"268",4,4,684116,3201409,0.213692158671385,"LZ5","lower","Control",19,180
"269",5,5,547906,2836798,0.193142409152855,"LZ5","lower","Control",19,180
"270",6,6,8573184,7935464,1.0803632906658,"LZ5","lower","Control",19,180
"271",7,7,488782,2868395,0.170402611913631,"LZ5","lower","Control",19,180
"272",8,8,567019,3347148,0.16940362362226,"LZ5","lower","Control",19,180
"273",9,9,471453,2874207,0.16402889562234,"LZ5","lower","Control",19,180
"274",10,10,8573184,7935464,1.0803632906658,"LZ5","lower","Control",19,180
"275",11,11,1495940,3697778,0.404551057418807,"LZ5","lower","Control",19,180
"276",12,12,665596,3242886,0.205248041405094,"LZ5","lower","Control",19,180
"277",1,1,755010,3137562,0.240635882255076,"LZ7","lower","Control",19,180
"278",2,2,8573184,7935464,1.0803632906658,"LZ7","lower","Control",19,180
"279",3,3,1290664,3175950,0.406386750421134,"LZ7","lower","Control",19,180
"280",4,4,1264809,3252903,0.388824689823213,"LZ7","lower","Control",19,180
"281",5,5,569756,3048690,0.186885514762078,"LZ7","lower","Control",19,180
"282",6,6,707021,2862604,0.246985262369507,"LZ7","lower","Control",19,180
"283",7,7,1042862,2920294,0.357108565096528,"LZ7","lower","Control",19,180
"284",8,8,705044,3458667,0.203848476884303,"LZ7","lower","Control",19,180
"285",9,9,723746,3034162,0.238532418506329,"LZ7","lower","Control",19,180
"286",10,10,559155,2759417,0.20263519431822,"LZ7","lower","Control",19,180
"287",11,11,544662,2815697,0.193437717197554,"LZ7","lower","Control",19,180
"288",12,12,852387,2913177,0.292597051260531,"LZ7","lower","Control",19,180
"289",1,1,8573184,7935464,1.0803632906658,"HZ11","higher","Control",31,192
"290",2,2,8573184,7935464,1.0803632906658,"HZ11","higher","Control",31,192
"291",3,3,8573184,7935464,1.0803632906658,"HZ11","higher","Control",31,192
"292",4,4,8573184,7935464,1.0803632906658,"HZ11","higher","Control",31,192
"293",5,5,8573184,7935464,1.0803632906658,"HZ11","higher","Control",31,192
"294",6,6,8573184,7935464,1.0803632906658,"HZ11","higher","Control",31,192
"295",7,7,8573184,7935464,1.0803632906658,"HZ11","higher","Control",31,192
"296",8,8,8573184,7935464,1.0803632906658,"HZ11","higher","Control",31,192
"297",9,9,8573184,7935464,1.0803632906658,"HZ11","higher","Control",31,192
"298",10,10,8573184,7935464,1.0803632906658,"HZ11","higher","Control",31,192
"299",11,11,8573184,7935464,1.0803632906658,"HZ11","higher","Control",31,192
"300",12,12,8573184,7935464,1.0803632906658,"HZ11","higher","Control",31,192
"301",1,1,8573184,7935464,1.0803632906658,"HZ12","higher","Control",31,192
"302",2,2,8573184,7935464,1.0803632906658,"HZ12","higher","Control",31,192
"303",3,3,8573184,7935464,1.0803632906658,"HZ12","higher","Control",31,192
"304",4,4,8573184,7935464,1.0803632906658,"HZ12","higher","Control",31,192
"305",5,5,8573184,7935464,1.0803632906658,"HZ12","higher","Control",31,192
"306",6,6,8573184,7935464,1.0803632906658,"HZ12","higher","Control",31,192
"307",7,7,8573184,7935464,1.0803632906658,"HZ12","higher","Control",31,192
"308",8,8,8573184,7935464,1.0803632906658,"HZ12","higher","Control",31,192
"309",9,9,8573184,7935464,1.0803632906658,"HZ12","higher","Control",31,192
"310",10,10,8573184,7935464,1.0803632906658,"HZ12","higher","Control",31,192
"311",11,11,8573184,7935464,1.0803632906658,"HZ12","higher","Control",31,192
"312",12,12,8573184,7935464,1.0803632906658,"HZ12","higher","Control",31,192
"313",1,1,8573184,7935464,1.0803632906658,"HZ13","higher","Control",31,192
"314",2,2,8573184,7935464,1.0803632906658,"HZ13","higher","Control",31,192
"315",3,3,8573184,7935464,1.0803632906658,"HZ13","higher","Control",31,192
"316",4,4,8573184,7935464,1.0803632906658,"HZ13","higher","Control",31,192
"317",5,5,8573184,7935464,1.0803632906658,"HZ13","higher","Control",31,192
"318",6,6,8573184,7935464,1.0803632906658,"HZ13","higher","Control",31,192
"319",7,7,8573184,7935464,1.0803632906658,"HZ13","higher","Control",31,192
"320",8,8,8573184,7935464,1.0803632906658,"HZ13","higher","Control",31,192
"321",9,9,8573184,7935464,1.0803632906658,"HZ13","higher","Control",31,192
"322",10,10,8573184,7935464,1.0803632906658,"HZ13","higher","Control",31,192
"323",11,11,8573184,7935464,1.0803632906658,"HZ13","higher","Control",31,192
"324",12,12,8573184,7935464,1.0803632906658,"HZ13","higher","Control",31,192
"325",1,1,355853,2912024,0.12220125933028,"HZ9","higher","Control",31,192
"326",2,2,431967,3224876,0.133948406078249,"HZ9","higher","Control",31,192
"327",3,3,200360,2975989,0.0673255176682441,"HZ9","higher","Control",31,192
"328",4,4,346160,2867368,0.120723953116586,"HZ9","higher","Control",31,192
"329",5,5,378366,2907376,0.130140030047713,"HZ9","higher","Control",31,192
"330",6,6,300833,3007634,0.10002314111358,"HZ9","higher","Control",31,192
"331",7,7,8573184,7935464,1.0803632906658,"HZ9","higher","Control",31,192
"332",8,8,6718464,7935464,0.846637827353259,"HZ9","higher","Control",31,192
"333",9,9,378366,2887102,0.131053908036502,"HZ9","higher","Control",31,192
"334",10,10,280594,2896878,0.0968608274148929,"HZ9","higher","Control",31,192
"335",11,11,204754,2916439,0.0702068515748143,"HZ9","higher","Control",31,192
"336",12,12,6718464,3147381,2.13462049875754,"HZ9","higher","Control",31,192
"337",1,1,8573184,7935464,1.0803632906658,"LZ2","lower","Control",31,192
"338",2,2,8573184,7935464,1.0803632906658,"LZ2","lower","Control",31,192
"339",3,3,8573184,7935464,1.0803632906658,"LZ2","lower","Control",31,192
"340",4,4,8573184,7935464,1.0803632906658,"LZ2","lower","Control",31,192
"341",5,5,8573184,7935464,1.0803632906658,"LZ2","lower","Control",31,192
"342",6,6,8573184,7935464,1.0803632906658,"LZ2","lower","Control",31,192
"343",7,7,8573184,7935464,1.0803632906658,"LZ2","lower","Control",31,192
"344",8,8,8573184,7935464,1.0803632906658,"LZ2","lower","Control",31,192
"345",9,9,8573184,7935464,1.0803632906658,"LZ2","lower","Control",31,192
"346",10,10,8573184,7935464,1.0803632906658,"LZ2","lower","Control",31,192
"347",11,11,454853,3095238,0.146952512213923,"LZ2","lower","Control",31,192
"348",12,12,557251,3107688,0.179313689147688,"LZ2","lower","Control",31,192
"349",1,1,8573184,7935464,1.0803632906658,"LZ3","lower","Control",31,192
"350",2,2,8573184,7935464,1.0803632906658,"LZ3","lower","Control",31,192
"351",3,3,8573184,7935464,1.0803632906658,"LZ3","lower","Control",31,192
"352",4,4,8573184,7935464,1.0803632906658,"LZ3","lower","Control",31,192
"353",5,5,8573184,7935464,1.0803632906658,"LZ3","lower","Control",31,192
"354",6,6,8573184,7935464,1.0803632906658,"LZ3","lower","Control",31,192
"355",7,7,8573184,7935464,1.0803632906658,"LZ3","lower","Control",31,192
"356",8,8,8573184,7935464,1.0803632906658,"LZ3","lower","Control",31,192
"357",9,9,8573184,7935464,1.0803632906658,"LZ3","lower","Control",31,192
"358",10,10,8573184,7935464,1.0803632906658,"LZ3","lower","Control",31,192
"359",11,11,8573184,7935464,1.0803632906658,"LZ3","lower","Control",31,192
