,X.1,X,embryo,yolk_area,embryo_area,yolk_embryo_ratio,mom,Treatment,Day_of_Exp,Julian_date,Elevation
51,589,5,5,1581561,2717431,0.582005946,Higher zone WINTER 1,Heat Shock,4,15,Higher
52,590,6,6,1343007,2544207,0.527868605,Higher zone WINTER 1,Heat Shock,4,15,Higher
53,591,7,7,1911475,2792804,0.684428624,Higher zone WINTER 1,Heat Shock,4,15,Higher
54,592,8,8,1481345,2683622,0.551994655,Higher zone WINTER 1,Heat Shock,4,15,Higher
55,593,9,9,1112384,2531148,0.439478055,Higher zone WINTER 1,Heat Shock,4,15,Higher
56,594,10,10,1099225,2517723,0.436594891,Higher zone WINTER 1,Heat Shock,4,15,Higher
57,595,11,11,1485417,2453900,0.605329068,Higher zone WINTER 1,Heat Shock,4,15,Higher
58,596,12,12,953165,2394643,0.398040543,Higher zone WINTER 1,Heat Shock,4,15,Higher
59,681,1,1,1104772,2783083,0.396959774,Higher zone WINTER 1,Heat Shock,12,23,Higher
60,682,4,4,1000705,2796134,0.357888785,Higher zone WINTER 1,Heat Shock,12,23,Higher
61,683,5,5,1065888,2660243,0.400673172,Higher zone WINTER 1,Heat Shock,12,23,Higher
62,684,6,6,1257718,2963070,0.424464491,Higher zone WINTER 1,Heat Shock,12,23,Higher
63,685,8,8,1368121,2885736,0.474097769,Higher zone WINTER 1,Heat Shock,12,23,Higher
64,686,9,9,1208951,2844041,0.425082128,Higher zone WINTER 1,Heat Shock,12,23,Higher
65,687,10,10,1233010,2926080,0.421386292,Higher zone WINTER 1,Heat Shock,12,23,Higher
66,688,11,11,1379209,2859510,0.482323545,Higher zone WINTER 1,Heat Shock,12,23,Higher
67,689,12,12,1465247,2800007,0.523301192,Higher zone WINTER 1,Heat Shock,12,23,Higher
68,757,1,1,544906,2950069,0.184709578,Higher zone WINTER 1,Heat Shock,20,31,Higher
69,758,4,4,907628,3143330,0.288747284,Higher zone WINTER 1,Heat Shock,20,31,Higher
70,759,8,8,1170729,3168818,0.3694529,Higher zone WINTER 1,Heat Shock,20,31,Higher
71,760,10,10,1068220,3310417,0.322684423,Higher zone WINTER 1,Heat Shock,20,31,Higher
72,761,11,11,1187470,3178067,0.373645364,Higher zone WINTER 1,Heat Shock,20,31,Higher
73,822,1,1,620362,3513952,0.176542537,Higher zone WINTER 1,Heat Shock,27,38,Higher
74,823,4,4,743542,3510663,0.211795322,Higher zone WINTER 1,Heat Shock,27,38,Higher
75,824,8,8,741683,3491326,0.212435905,Higher zone WINTER 1,Heat Shock,27,38,Higher
76,825,10,10,641520,3631453,0.176656561,Higher zone WINTER 1,Heat Shock,27,38,Higher
77,826,11,11,691858,3509955,0.197113068,Higher zone WINTER 1,Heat Shock,27,38,Higher
78,1138,1,1,517685,3659309,0.141470698,Higher zone WINTER 1,Control,34,45,Higher
79,1139,2,2,266881,3825024,0.069772373,Higher zone WINTER 1,Control,34,45,Higher
80,1140,3,3,427792,3783994,0.113053033,Higher zone WINTER 1,Control,34,45,Higher
81,1141,4,4,222051,3543064,0.062672026,Higher zone WINTER 1,Control,34,45,Higher
82,1142,5,5,379473,3789534,0.100137114,Higher zone WINTER 1,Control,34,45,Higher
83,1143,6,6,498210,3800373,0.131095027,Higher zone WINTER 1,Control,34,45,Higher
84,1144,8,8,311721,3743596,0.083267799,Higher zone WINTER 1,Control,34,45,Higher
85,1145,9,9,328418,3965754,0.082813508,Higher zone WINTER 1,Control,34,45,Higher
86,1146,10,10,692007,3862245,0.179172217,Higher zone WINTER 1,Control,34,45,Higher
87,1147,11,11,493184,3883331,0.127000248,Higher zone WINTER 1,Control,34,45,Higher
88,1148,12,12,465684,3837344,0.121355813,Higher zone WINTER 1,Control,34,45,Higher
89,1178,1,1,61160,3946442,0.015497504,Higher zone WINTER 1,Heat Shock,34,45,Higher
90,1179,4,4,225004,3564482,0.063123899,Higher zone WINTER 1,Heat Shock,34,45,Higher
91,1180,8,8,369550,3881008,0.095220108,Higher zone WINTER 1,Heat Shock,34,45,Higher
92,1181,10,10,283405,3932665,0.072064363,Higher zone WINTER 1,Heat Shock,34,45,Higher
93,1182,11,11,56393,3460171,0.016297749,Higher zone WINTER 1,Heat Shock,34,45,Higher
94,1214,1,1,111597,3824758,0.029177532,Higher zone WINTER 1,Control,42,53,Higher
95,1215,4,4,1445,4060801,0.000355841,Higher zone WINTER 1,Control,42,53,Higher
96,1216,6,6,1396,3994547,0.000349476,Higher zone WINTER 1,Control,42,53,Higher
97,1217,10,10,121,4498575,2.68974064009158e-05,Higher zone WINTER 1,Control,42,53,Higher
98,13,1,1,1023843,3265479,0.313535319,Higher zone WINTER 2,Control,5,16,Higher
99,14,2,2,791590,3009128,0.263062921,Higher zone WINTER 2,Control,5,16,Higher
100,15,3,3,1025760,3263405,0.314322004,Higher zone WINTER 2,Control,5,16,Higher
101,16,4,4,993489,3083611,0.322183635,Higher zone WINTER 2,Control,5,16,Higher
102,17,5,5,1244055,2896652,0.42948031,Higher zone WINTER 2,Control,5,16,Higher
103,18,6,6,842141,2914574,0.288941368,Higher zone WINTER 2,Control,5,16,Higher
104,19,7,7,757931,3027738,0.250329124,Higher zone WINTER 2,Control,5,16,Higher
105,20,8,8,1160151,3444068,0.336854847,Higher zone WINTER 2,Control,5,16,Higher
106,21,9,9,653188,2903301,0.224981151,Higher zone WINTER 2,Control,5,16,Higher
107,22,10,10,977864,3245316,0.301315496,Higher zone WINTER 2,Control,5,16,Higher
108,23,11,11,650268,2817629,0.230785529,Higher zone WINTER 2,Control,5,16,Higher
109,24,12,12,1139565,3191772,0.357032081,Higher zone WINTER 2,Control,5,16,Higher
110,109,1,1,890029,3707306,0.240074329,Higher zone WINTER 2,Control,12,23,Higher
111,110,2,2,547336,3717547,0.147230418,Higher zone WINTER 2,Control,12,23,Higher
112,111,3,3,893966,3575839,0.250001748,Higher zone WINTER 2,Control,12,23,Higher
113,112,4,4,864875,3702578,0.233587247,Higher zone WINTER 2,Control,12,23,Higher
114,113,6,6,862990,3675715,0.234781532,Higher zone WINTER 2,Control,12,23,Higher
115,114,7,7,933466,3623872,0.257588016,Higher zone WINTER 2,Control,12,23,Higher
116,115,8,8,738743,3595248,0.205477619,Higher zone WINTER 2,Control,12,23,Higher
117,116,9,9,770594,3537543,0.217833112,Higher zone WINTER 2,Control,12,23,Higher
118,117,10,10,642680,3682544,0.174520657,Higher zone WINTER 2,Control,12,23,Higher
119,118,11,11,831559,3542001,0.234770967,Higher zone WINTER 2,Control,12,23,Higher
120,119,12,12,995470,3583476,0.277794521,Higher zone WINTER 2,Control,12,23,Higher
121,191,1,1,296318,3791623,0.078150702,Higher zone WINTER 2,Control,21,32,Higher
122,192,2,2,259071,4169703,0.062131763,Higher zone WINTER 2,Control,21,32,Higher
123,193,3,3,440320,4011102,0.109775319,Higher zone WINTER 2,Control,21,32,Higher
124,194,4,4,387972,4272655,0.090803493,Higher zone WINTER 2,Control,21,32,Higher
125,195,6,6,352520,4002680,0.088070992,Higher zone WINTER 2,Control,21,32,Higher
126,196,7,7,462852,4046730,0.114376793,Higher zone WINTER 2,Control,21,32,Higher
127,197,9,9,384949,4004263,0.096134794,Higher zone WINTER 2,Control,21,32,Higher
128,198,10,10,450605,4129346,0.109122607,Higher zone WINTER 2,Control,21,32,Higher
129,199,11,11,406513,4210214,0.096553999,Higher zone WINTER 2,Control,21,32,Higher
130,200,12,12,400275,4027995,0.099373261,Higher zone WINTER 2,Control,21,32,Higher
131,271,1,1,46,3974335,1.15742633673306e-05,Higher zone WINTER 2,Control,28,39,Higher
132,272,3,3,18878,4330323,0.00435949,Higher zone WINTER 2,Control,28,39,Higher
133,273,4,4,2254,4317175,0.000522101,Higher zone WINTER 2,Control,28,39,Higher
134,274,6,6,88,4203334,2.09357619451607e-05,Higher zone WINTER 2,Control,28,39,Higher
135,275,7,7,2204,4708651,0.000468075,Higher zone WINTER 2,Control,28,39,Higher
136,276,9,9,1200,4582660,0.000261857,Higher zone WINTER 2,Control,28,39,Higher
137,277,10,10,6718464,4038093,1.663771488,Higher zone WINTER 2,Control,28,39,Higher
138,278,11,11,11530,4463545,0.002583149,Higher zone WINTER 2,Control,28,39,Higher
139,279,12,12,6718464,3772141,1.781074461,Higher zone WINTER 2,Control,28,39,Higher
140,597,1,1,1038489,3266642,0.317907196,Higher zone WINTER 2,Heat Shock,4,15,Higher
141,598,2,2,1235607,3577782,0.345355586,Higher zone WINTER 2,Heat Shock,4,15,Higher
142,599,3,3,1692094,3205554,0.527863202,Higher zone WINTER 2,Heat Shock,4,15,Higher
143,600,4,4,1490639,3281718,0.454225195,Higher zone WINTER 2,Heat Shock,4,15,Higher
144,601,5,5,605190,2956619,0.204689884,Higher zone WINTER 2,Heat Shock,4,15,Higher
145,602,6,6,1185352,3559516,0.333009319,Higher zone WINTER 2,Heat Shock,4,15,Higher
146,603,7,7,1301464,3562120,0.3653622,Higher zone WINTER 2,Heat Shock,4,15,Higher
147,604,8,8,665122,2953190,0.22522154,Higher zone WINTER 2,Heat Shock,4,15,Higher
148,605,9,9,1033223,3457826,0.298807112,Higher zone WINTER 2,Heat Shock,4,15,Higher
149,606,10,10,1200063,3489998,0.34385779,Higher zone WINTER 2,Heat Shock,4,15,Higher
150,607,11,11,482299,3086177,0.156277168,Higher zone WINTER 2,Heat Shock,4,15,Higher
151,608,12,12,1419518,3414029,0.415789673,Higher zone WINTER 2,Heat Shock,4,15,Higher
152,690,1,1,804344,3513649,0.228919849,Higher zone WINTER 2,Heat Shock,12,23,Higher
153,691,2,2,575088,3427195,0.167801365,Higher zone WINTER 2,Heat Shock,12,23,Higher
154,692,4,4,816630,3581348,0.22802308,Higher zone WINTER 2,Heat Shock,12,23,Higher
155,693,6,6,640255,3647446,0.175535155,Higher zone WINTER 2,Heat Shock,12,23,Higher
156,694,7,7,656957,3644543,0.180257717,Higher zone WINTER 2,Heat Shock,12,23,Higher
157,695,8,8,667896,3451807,0.193491699,Higher zone WINTER 2,Heat Shock,12,23,Higher
158,696,9,9,654507,3657236,0.1789622,Higher zone WINTER 2,Heat Shock,12,23,Higher
159,697,10,10,641617,3618093,0.177335685,Higher zone WINTER 2,Heat Shock,12,23,Higher
160,698,12,12,992103,3709258,0.267466701,Higher zone WINTER 2,Heat Shock,12,23,Higher
161,762,1,1,384194,3878024,0.099069526,Higher zone WINTER 2,Heat Shock,20,31,Higher
162,763,2,2,218508,4008481,0.054511422,Higher zone WINTER 2,Heat Shock,20,31,Higher
163,764,6,6,163621,3918500,0.041756029,Higher zone WINTER 2,Heat Shock,20,31,Higher
164,765,7,7,280414,4000974,0.070086434,Higher zone WINTER 2,Heat Shock,20,31,Higher
165,766,8,8,308189,3961064,0.0778046,Higher zone WINTER 2,Heat Shock,20,31,Higher
166,767,9,9,372972,3279160,0.113740104,Higher zone WINTER 2,Heat Shock,20,31,Higher
167,768,10,10,287299,3944084,0.072843023,Higher zone WINTER 2,Heat Shock,20,31,Higher
168,827,1,1,14737,4742093,0.003107699,Higher zone WINTER 2,Heat Shock,27,38,Higher
169,828,2,2,11599,4547310,0.002550739,Higher zone WINTER 2,Heat Shock,27,38,Higher
170,829,3,3,698,4466975,0.000156258,Higher zone WINTER 2,Heat Shock,27,38,Higher
171,25,1,1,589096,2787208,0.211357028,Higher zone WINTER 3,Control,5,16,Higher
172,26,2,2,1066566,3185920,0.334774884,Higher zone WINTER 3,Control,5,16,Higher
173,27,3,3,1292188,3384318,0.381816366,Higher zone WINTER 3,Control,5,16,Higher
174,28,4,4,1007781,3141373,0.320809086,Higher zone WINTER 3,Control,5,16,Higher
175,29,5,5,381528,2781920,0.137145569,Higher zone WINTER 3,Control,5,16,Higher
176,30,6,6,1165677,3028308,0.38492683,Higher zone WINTER 3,Control,5,16,Higher
177,31,7,7,979416,3191018,0.306929011,Higher zone WINTER 3,Control,5,16,Higher
178,32,8,8,1111998,3106273,0.357984633,Higher zone WINTER 3,Control,5,16,Higher
179,33,9,9,978741,3229597,0.303053601,Higher zone WINTER 3,Control,5,16,Higher
180,34,10,10,1064945,2879490,0.369838062,Higher zone WINTER 3,Control,5,16,Higher
181,35,11,11,972110,3193319,0.304419947,Higher zone WINTER 3,Control,5,16,Higher
182,36,12,12,921850,3247372,0.2838757,Higher zone WINTER 3,Control,5,16,Higher
183,120,1,1,705067,3581202,0.196879986,Higher zone WINTER 3,Control,12,23,Higher
184,121,2,2,703238,3498914,0.200987506,Higher zone WINTER 3,Control,12,23,Higher
185,122,3,3,525726,3463997,0.151768607,Higher zone WINTER 3,Control,12,23,Higher
186,123,4,4,694421,3482232,0.199418362,Higher zone WINTER 3,Control,12,23,Higher
187,124,5,5,505116,3515714,0.143673803,Higher zone WINTER 3,Control,12,23,Higher
188,125,6,6,531380,3624104,0.146623828,Higher zone WINTER 3,Control,12,23,Higher
189,126,7,7,526925,3510865,0.150084096,Higher zone WINTER 3,Control,12,23,Higher
190,127,8,8,532817,3513046,0.151668097,Higher zone WINTER 3,Control,12,23,Higher
191,128,9,9,633230,3623775,0.174743189,Higher zone WINTER 3,Control,12,23,Higher
192,129,10,10,626418,3501543,0.178897703,Higher zone WINTER 3,Control,12,23,Higher
193,130,11,11,506279,3488441,0.145130447,Higher zone WINTER 3,Control,12,23,Higher
194,131,12,12,542107,3335693,0.162517054,Higher zone WINTER 3,Control,12,23,Higher
195,201,1,1,211483,3900020,0.054226132,Higher zone WINTER 3,Control,21,32,Higher
196,202,2,2,172370,4053626,0.042522423,Higher zone WINTER 3,Control,21,32,Higher
197,203,3,3,292065,4038288,0.072323965,Higher zone WINTER 3,Control,21,32,Higher
198,204,4,4,235341,3987127,0.059025208,Higher zone WINTER 3,Control,21,32,Higher
199,205,5,5,170528,4058289,0.042019679,Higher zone WINTER 3,Control,21,32,Higher
200,206,6,6,99681,3875125,0.025723299,Higher zone WINTER 3,Control,21,32,Higher
201,207,7,7,196874,4028691,0.048867982,Higher zone WINTER 3,Control,21,32,Higher
202,208,8,8,136502,4046449,0.033733775,Higher zone WINTER 3,Control,21,32,Higher
203,209,9,9,189860,3987203,0.04761734,Higher zone WINTER 3,Control,21,32,Higher
204,210,10,10,204700,3937776,0.051983658,Higher zone WINTER 3,Control,21,32,Higher
205,211,11,11,200317,4110193,0.048736641,Higher zone WINTER 3,Control,21,32,Higher
206,212,12,12,151054,3804699,0.039701958,Higher zone WINTER 3,Control,21,32,Higher
207,280,1,1,15492,3945723,0.003926277,Higher zone WINTER 3,Control,28,39,Higher
208,609,1,1,671207,2752648,0.243840477,Higher zone WINTER 3,Heat Shock,4,15,Higher
209,610,2,2,94665,2915429,0.03247035,Higher zone WINTER 3,Heat Shock,4,15,Higher
210,611,3,3,725895,2861883,0.253642445,Higher zone WINTER 3,Heat Shock,4,15,Higher
211,612,4,4,1185737,2962950,0.400187988,Higher zone WINTER 3,Heat Shock,4,15,Higher
212,613,5,5,742943,3064990,0.242396549,Higher zone WINTER 3,Heat Shock,4,15,Higher
213,614,6,6,1073391,3530669,0.304019153,Higher zone WINTER 3,Heat Shock,4,15,Higher
214,615,7,7,934404,3297842,0.283338013,Higher zone WINTER 3,Heat Shock,4,15,Higher
215,616,8,8,860596,3200238,0.268916249,Higher zone WINTER 3,Heat Shock,4,15,Higher
216,617,9,9,1033217,3256372,0.317290838,Higher zone WINTER 3,Heat Shock,4,15,Higher
217,618,10,10,873572,3411818,0.256042966,Higher zone WINTER 3,Heat Shock,4,15,Higher
218,619,11,11,1165417,2974701,0.391776182,Higher zone WINTER 3,Heat Shock,4,15,Higher
219,620,12,12,700489,2826136,0.247861037,Higher zone WINTER 3,Heat Shock,4,15,Higher
220,699,1,1,618599,3421733,0.180785292,Higher zone WINTER 3,Heat Shock,12,23,Higher
221,700,2,2,255967,3150878,0.081236722,Higher zone WINTER 3,Heat Shock,12,23,Higher
222,701,3,3,625616,3478139,0.179870902,Higher zone WINTER 3,Heat Shock,12,23,Higher
223,702,4,4,433470,3340064,0.12977895,Higher zone WINTER 3,Heat Shock,12,23,Higher
224,703,5,5,766824,3601388,0.212924572,Higher zone WINTER 3,Heat Shock,12,23,Higher
225,704,6,6,532118,3618935,0.147037181,Higher zone WINTER 3,Heat Shock,12,23,Higher
226,705,7,7,435385,3519783,0.123696546,Higher zone WINTER 3,Heat Shock,12,23,Higher
227,706,8,8,473067,3612772,0.130942944,Higher zone WINTER 3,Heat Shock,12,23,Higher
228,707,9,9,583603,3477618,0.167816879,Higher zone WINTER 3,Heat Shock,12,23,Higher
229,708,10,10,278930,3310893,0.084246154,Higher zone WINTER 3,Heat Shock,12,23,Higher
230,709,11,11,609761,3494732,0.174480046,Higher zone WINTER 3,Heat Shock,12,23,Higher
231,710,12,12,564918,3545246,0.159345219,Higher zone WINTER 3,Heat Shock,12,23,Higher
232,769,1,1,99152,3707154,0.026746124,Higher zone WINTER 3,Heat Shock,20,31,Higher
233,770,2,2,8526,3831781,0.002225075,Higher zone WINTER 3,Heat Shock,20,31,Higher
234,771,3,3,136949,4163072,0.03289614,Higher zone WINTER 3,Heat Shock,20,31,Higher
235,772,4,4,149035,4086722,0.036468103,Higher zone WINTER 3,Heat Shock,20,31,Higher
236,773,5,5,161458,4261377,0.037888692,Higher zone WINTER 3,Heat Shock,20,31,Higher
237,774,6,6,3950,4110910,0.000960858,Higher zone WINTER 3,Heat Shock,20,31,Higher
238,775,7,7,25215,4145498,0.006082502,Higher zone WINTER 3,Heat Shock,20,31,Higher
239,776,8,8,39349,3803397,0.010345751,Higher zone WINTER 3,Heat Shock,20,31,Higher
240,777,9,9,121794,4136398,0.029444459,Higher zone WINTER 3,Heat Shock,20,31,Higher
241,778,10,10,45074,4078475,0.01105168,Higher zone WINTER 3,Heat Shock,20,31,Higher
242,830,1,1,6718464,4293242,1.564892918,Higher zone WINTER 3,Heat Shock,27,38,Higher
243,831,2,2,32899,4410126,0.007459878,Higher zone WINTER 3,Heat Shock,27,38,Higher
244,37,1,1,1073103,2373384,0.452140488,Higher zone WINTER 4,Control,5,16,Higher
245,38,2,2,1347528,2625526,0.513241156,Higher zone WINTER 4,Control,5,16,Higher
246,39,3,3,1272826,2624092,0.485053878,Higher zone WINTER 4,Control,5,16,Higher
247,40,4,4,1286797,2583055,0.498168641,Higher zone WINTER 4,Control,5,16,Higher
248,41,5,5,1377841,2608168,0.528279237,Higher zone WINTER 4,Control,5,16,Higher
249,42,6,6,1323069,2707824,0.488609673,Higher zone WINTER 4,Control,5,16,Higher
250,43,7,7,1087494,2374979,0.457896259,Higher zone WINTER 4,Control,5,16,Higher
251,44,8,8,1543345,2644738,0.583553078,Higher zone WINTER 4,Control,5,16,Higher
252,45,9,9,1331855,2537459,0.524877446,Higher zone WINTER 4,Control,5,16,Higher
253,46,10,10,1173471,2520596,0.465552988,Higher zone WINTER 4,Control,5,16,Higher
254,47,11,11,1330271,2707636,0.491303484,Higher zone WINTER 4,Control,5,16,Higher
255,48,12,12,1223892,2713458,0.451045124,Higher zone WINTER 4,Control,5,16,Higher
256,132,1,1,955455,2779476,0.343753643,Higher zone WINTER 4,Control,12,23,Higher
257,133,2,2,1052992,2760219,0.38148857,Higher zone WINTER 4,Control,12,23,Higher
258,134,3,3,822078,2761272,0.297717139,Higher zone WINTER 4,Control,12,23,Higher
259,135,4,4,915377,2746868,0.333243898,Higher zone WINTER 4,Control,12,23,Higher
260,136,5,5,1296279,3122664,0.41511959,Higher zone WINTER 4,Control,12,23,Higher
261,137,6,6,981247,2761889,0.355281114,Higher zone WINTER 4,Control,12,23,Higher
262,138,7,7,979919,2695032,0.363601991,Higher zone WINTER 4,Control,12,23,Higher
263,139,8,8,1069061,2769100,0.386068037,Higher zone WINTER 4,Control,12,23,Higher
264,140,9,9,1286310,2868897,0.448363953,Higher zone WINTER 4,Control,12,23,Higher
265,141,10,10,920836,2819297,0.326619012,Higher zone WINTER 4,Control,12,23,Higher
266,142,11,11,954092,2853805,0.334322773,Higher zone WINTER 4,Control,12,23,Higher
267,143,12,12,951654,2756794,0.34520316,Higher zone WINTER 4,Control,12,23,Higher
268,213,1,1,703821,2972988,0.236738594,Higher zone WINTER 4,Control,21,32,Higher
269,214,2,2,707975,3114682,0.227302498,Higher zone WINTER 4,Control,21,32,Higher
270,215,3,3,588169,3044389,0.193197716,Higher zone WINTER 4,Control,21,32,Higher
271,216,4,4,580601,3028922,0.191685689,Higher zone WINTER 4,Control,21,32,Higher
272,217,5,5,678496,3420378,0.198368718,Higher zone WINTER 4,Control,21,32,Higher
273,218,6,6,748270,3296339,0.227000318,Higher zone WINTER 4,Control,21,32,Higher
274,219,7,7,731103,3175166,0.230256623,Higher zone WINTER 4,Control,21,32,Higher
275,220,8,8,787260,3207985,0.245406384,Higher zone WINTER 4,Control,21,32,Higher
276,221,9,9,795003,3201091,0.248353764,Higher zone WINTER 4,Control,21,32,Higher
277,222,10,10,743122,3214982,0.23114344,Higher zone WINTER 4,Control,21,32,Higher
278,223,11,11,705661,3264983,0.216130069,Higher zone WINTER 4,Control,21,32,Higher
279,224,12,12,631802,3135256,0.201515283,Higher zone WINTER 4,Control,21,32,Higher
280,281,1,1,522092,3245589,0.160862019,Higher zone WINTER 4,Control,28,39,Higher
281,282,2,2,351725,3019488,0.11648498,Higher zone WINTER 4,Control,28,39,Higher
282,283,3,3,384329,3399747,0.113046353,Higher zone WINTER 4,Control,28,39,Higher
283,284,4,4,487650,3274677,0.14891545,Higher zone WINTER 4,Control,28,39,Higher
284,285,5,5,621120,3380969,0.183710646,Higher zone WINTER 4,Control,28,39,Higher
285,286,6,6,613538,3377529,0.181652918,Higher zone WINTER 4,Control,28,39,Higher
286,287,7,7,478825,3266786,0.146573727,Higher zone WINTER 4,Control,28,39,Higher
287,288,8,8,582614,3492527,0.166817322,Higher zone WINTER 4,Control,28,39,Higher
288,289,9,9,587065,3373954,0.173999112,Higher zone WINTER 4,Control,28,39,Higher
289,290,10,10,549532,3493974,0.157279934,Higher zone WINTER 4,Control,28,39,Higher
290,291,11,11,487096,3448182,0.141261685,Higher zone WINTER 4,Control,28,39,Higher
291,292,12,12,460482,3372641,0.136534544,Higher zone WINTER 4,Control,28,39,Higher
292,621,1,1,1574993,3251315,0.484417228,Higher zone WINTER 4,Heat Shock,4,15,Higher
293,622,2,2,1476013,2721336,0.542385431,Higher zone WINTER 4,Heat Shock,4,15,Higher
294,623,3,3,1114592,2350010,0.47429245,Higher zone WINTER 4,Heat Shock,4,15,Higher
295,624,4,4,1522087,2618258,0.581335758,Higher zone WINTER 4,Heat Shock,4,15,Higher
296,625,5,5,1310523,2571264,0.509680453,Higher zone WINTER 4,Heat Shock,4,15,Higher
297,626,6,6,891556,2551960,0.349361275,Higher zone WINTER 4,Heat Shock,4,15,Higher
298,627,7,7,1327262,2725053,0.487059151,Higher zone WINTER 4,Heat Shock,4,15,Higher
299,628,8,8,795105,2384193,0.3334902,Higher zone WINTER 4,Heat Shock,4,15,Higher
300,629,9,9,1247200,2309645,0.539996406,Higher zone WINTER 4,Heat Shock,4,15,Higher
301,630,10,10,1179262,2309702,0.510568896,Higher zone WINTER 4,Heat Shock,4,15,Higher
